filename,0b,0count,0g,0r,10b,10count,10g,10r,11b,11count,11g,11r,12b,12count,12g,12r,13b,13count,13g,13r,14b,14count,14g,14r,15b,15count,15g,15r,16b,16count,16g,16r,17b,17count,17g,17r,18b,18count,18g,18r,19b,19count,19g,19r,1b,1count,1g,1r,2b,2count,2g,2r,3b,3count,3g,3r,4b,4count,4g,4r,5b,5count,5g,5r,6b,6count,6g,6r,7b,7count,7g,7r,8b,8count,8g,8r,9b,9count,9g,9r
yjrafuspulu41.png,35.0,762.0,25.0,175.0,115.0,2743.0,85.0,125.0,115.0,2815.0,65.0,75.0,220.0,3110.0,190.0,220.0,205.0,4957.0,130.0,195.0,125.0,7526.0,30.0,100.0,185.0,8108.0,90.0,160.0,165.0,8390.0,75.0,140.0,145.0,9001.0,45.0,115.0,195.0,11968.0,255.0,95.0,250.0,14001.0,225.0,255.0,15.0,1055.0,0.0,15.0,210.0,1644.0,30.0,235.0,185.0,1797.0,115.0,245.0,170.0,1830.0,140.0,165.0,145.0,1860.0,80.0,200.0,60.0,1900.0,55.0,245.0,215.0,2098.0,240.0,140.0,175.0,2186.0,105.0,100.0,65.0,2249.0,40.0,40.0
2ehmq0fjpj051.png,10.0,606.0,90.0,30.0,135.0,1813.0,10.0,240.0,5.0,1852.0,0.0,45.0,90.0,2515.0,180.0,130.0,145.0,2697.0,155.0,160.0,180.0,2890.0,195.0,185.0,65.0,3483.0,55.0,65.0,90.0,5576.0,85.0,95.0,95.0,6367.0,230.0,135.0,115.0,10368.0,115.0,120.0,90.0,40010.0,255.0,135.0,230.0,623.0,160.0,245.0,45.0,717.0,100.0,155.0,50.0,1235.0,155.0,65.0,160.0,1278.0,85.0,210.0,225.0,1413.0,245.0,235.0,155.0,1520.0,250.0,65.0,140.0,1582.0,100.0,15.0,90.0,1662.0,15.0,165.0,40.0,1793.0,10.0,125.0
a2vvzng7g7v41.png,65.0,255.0,205.0,210.0,30.0,4909.0,20.0,55.0,110.0,5225.0,110.0,115.0,140.0,5447.0,130.0,140.0,80.0,5551.0,85.0,90.0,190.0,5993.0,180.0,190.0,55.0,6136.0,30.0,95.0,105.0,6307.0,55.0,175.0,165.0,6545.0,155.0,165.0,75.0,6833.0,30.0,135.0,55.0,8888.0,70.0,55.0,195.0,1131.0,230.0,95.0,65.0,1451.0,140.0,20.0,135.0,1483.0,195.0,45.0,250.0,3122.0,250.0,255.0,200.0,3482.0,115.0,240.0,215.0,3691.0,205.0,215.0,10.0,4025.0,55.0,5.0,0.0,4646.0,0.0,20.0,150.0,4880.0,80.0,205.0
t88z1sn736x41.png,110.0,89.0,215.0,60.0,255.0,3287.0,250.0,255.0,35.0,3460.0,25.0,50.0,10.0,4380.0,10.0,15.0,75.0,5276.0,60.0,90.0,55.0,5369.0,40.0,90.0,45.0,5461.0,30.0,70.0,100.0,6559.0,80.0,125.0,20.0,6882.0,10.0,35.0,85.0,6992.0,70.0,105.0,0.0,25033.0,0.0,0.0,140.0,936.0,140.0,145.0,140.0,1122.0,110.0,180.0,175.0,1238.0,165.0,185.0,200.0,1313.0,185.0,215.0,225.0,1701.0,210.0,240.0,105.0,2104.0,75.0,160.0,85.0,2680.0,55.0,140.0,115.0,3044.0,95.0,140.0,70.0,3074.0,45.0,115.0
176wf6duetq41.png,210.0,469.0,195.0,190.0,145.0,3665.0,140.0,140.0,130.0,4247.0,65.0,95.0,115.0,5137.0,45.0,65.0,170.0,5975.0,80.0,120.0,210.0,6863.0,130.0,255.0,120.0,7294.0,20.0,60.0,115.0,7567.0,110.0,105.0,165.0,7693.0,55.0,100.0,150.0,8123.0,35.0,80.0,100.0,8696.0,10.0,40.0,70.0,1482.0,30.0,75.0,90.0,1717.0,50.0,125.0,55.0,2350.0,20.0,0.0,125.0,2716.0,65.0,175.0,90.0,2915.0,40.0,20.0,90.0,2970.0,85.0,70.0,155.0,3154.0,85.0,215.0,180.0,3350.0,100.0,240.0,155.0,3617.0,150.0,110.0
ydcl9x6j78w41.png,185.0,165.0,255.0,185.0,55.0,2875.0,115.0,40.0,75.0,4748.0,165.0,60.0,65.0,5193.0,145.0,45.0,55.0,5335.0,135.0,30.0,50.0,5998.0,120.0,15.0,40.0,7317.0,105.0,10.0,20.0,8808.0,80.0,5.0,30.0,8895.0,90.0,10.0,40.0,11746.0,100.0,30.0,35.0,15688.0,95.0,20.0,145.0,193.0,130.0,175.0,130.0,546.0,245.0,115.0,100.0,804.0,165.0,100.0,60.0,1197.0,75.0,70.0,80.0,1346.0,110.0,90.0,35.0,1805.0,60.0,35.0,90.0,2205.0,195.0,70.0,5.0,2498.0,20.0,0.0,15.0,2638.0,45.0,10.0
ksg2c3yg5ur41.png,35.0,76.0,20.0,50.0,0.0,1695.0,0.0,190.0,190.0,1922.0,175.0,195.0,200.0,6652.0,190.0,200.0,215.0,7605.0,205.0,220.0,205.0,8590.0,200.0,210.0,255.0,9061.0,250.0,255.0,235.0,10537.0,230.0,240.0,245.0,10658.0,240.0,250.0,220.0,12384.0,215.0,225.0,230.0,14662.0,220.0,230.0,100.0,201.0,95.0,200.0,40.0,340.0,40.0,175.0,95.0,368.0,70.0,110.0,130.0,575.0,100.0,145.0,5.0,720.0,0.0,155.0,155.0,803.0,130.0,165.0,205.0,997.0,175.0,225.0,175.0,1036.0,150.0,190.0,230.0,1118.0,205.0,250.0
4lhszcvq0i251.png,60.0,1888.0,45.0,100.0,205.0,3435.0,205.0,220.0,25.0,3665.0,25.0,25.0,60.0,3850.0,55.0,185.0,20.0,4121.0,10.0,105.0,235.0,4230.0,235.0,240.0,45.0,4255.0,40.0,165.0,135.0,5641.0,130.0,135.0,0.0,5774.0,0.0,0.0,30.0,6954.0,15.0,135.0,255.0,22980.0,255.0,255.0,70.0,2250.0,80.0,70.0,105.0,2275.0,110.0,100.0,175.0,2356.0,160.0,210.0,45.0,2525.0,45.0,50.0,185.0,2636.0,185.0,190.0,145.0,2641.0,120.0,190.0,160.0,2702.0,155.0,165.0,95.0,2738.0,70.0,135.0,120.0,3084.0,95.0,160.0
95itt33yxdv41.png,65.0,375.0,185.0,60.0,150.0,3216.0,120.0,195.0,85.0,4328.0,75.0,125.0,50.0,4762.0,55.0,70.0,65.0,5279.0,65.0,100.0,45.0,5817.0,30.0,90.0,35.0,6790.0,25.0,65.0,0.0,6976.0,0.0,10.0,20.0,8392.0,15.0,45.0,10.0,11038.0,5.0,25.0,250.0,15062.0,225.0,255.0,135.0,1087.0,180.0,240.0,75.0,1232.0,120.0,220.0,200.0,1449.0,185.0,220.0,105.0,1976.0,60.0,200.0,120.0,1995.0,105.0,155.0,180.0,2164.0,110.0,245.0,55.0,2403.0,95.0,115.0,75.0,2467.0,50.0,155.0,140.0,3192.0,80.0,235.0
7roy7fr5giy41.png,130.0,278.0,165.0,105.0,35.0,788.0,35.0,35.0,175.0,798.0,180.0,175.0,120.0,845.0,120.0,120.0,195.0,883.0,195.0,190.0,210.0,986.0,210.0,210.0,225.0,1696.0,225.0,225.0,235.0,2573.0,235.0,235.0,245.0,3883.0,245.0,245.0,250.0,6070.0,250.0,250.0,255.0,65985.0,255.0,255.0,245.0,291.0,250.0,210.0,155.0,380.0,190.0,125.0,0.0,460.0,0.0,0.0,75.0,609.0,80.0,75.0,55.0,636.0,55.0,55.0,100.0,640.0,100.0,95.0,160.0,713.0,160.0,155.0,20.0,731.0,20.0,20.0,140.0,755.0,140.0,135.0
