filename,0b,0count,0g,0r,10b,10count,10g,10r,11b,11count,11g,11r,12b,12count,12g,12r,13b,13count,13g,13r,14b,14count,14g,14r,15b,15count,15g,15r,16b,16count,16g,16r,17b,17count,17g,17r,18b,18count,18g,18r,19b,19count,19g,19r,1b,1count,1g,1r,2b,2count,2g,2r,3b,3count,3g,3r,4b,4count,4g,4r,5b,5count,5g,5r,6b,6count,6g,6r,7b,7count,7g,7r,8b,8count,8g,8r,9b,9count,9g,9r
ksn72cinsy151.png,40.0,461.0,45.0,165.0,80.0,2409.0,75.0,80.0,150.0,3143.0,85.0,205.0,110.0,3479.0,105.0,115.0,35.0,3864.0,30.0,30.0,55.0,4459.0,45.0,55.0,235.0,4945.0,235.0,235.0,15.0,6448.0,10.0,15.0,190.0,8413.0,15.0,220.0,255.0,18280.0,255.0,255.0,0.0,20054.0,0.0,0.0,40.0,910.0,50.0,220.0,35.0,1007.0,10.0,70.0,185.0,1176.0,65.0,205.0,80.0,1450.0,45.0,110.0,115.0,1692.0,70.0,155.0,155.0,1772.0,150.0,165.0,120.0,1964.0,70.0,80.0,205.0,1983.0,200.0,210.0,90.0,2091.0,45.0,55.0
ik4d2mpi1fo41.png,60.0,264.0,85.0,30.0,55.0,4404.0,40.0,80.0,80.0,4678.0,70.0,90.0,70.0,5722.0,50.0,95.0,10.0,5888.0,10.0,20.0,65.0,6172.0,60.0,75.0,55.0,7453.0,45.0,60.0,25.0,7705.0,20.0,30.0,0.0,8428.0,0.0,5.0,40.0,8681.0,35.0,55.0,30.0,11221.0,25.0,40.0,250.0,623.0,245.0,255.0,215.0,1279.0,210.0,225.0,150.0,1992.0,135.0,160.0,190.0,2006.0,185.0,200.0,170.0,2030.0,160.0,180.0,130.0,2286.0,115.0,140.0,85.0,2701.0,65.0,110.0,110.0,2963.0,100.0,120.0,95.0,3504.0,85.0,105.0
y5pddy7h16x41.png,80.0,793.0,225.0,225.0,150.0,3905.0,240.0,190.0,145.0,4567.0,245.0,100.0,65.0,5099.0,230.0,60.0,40.0,5573.0,225.0,40.0,30.0,6121.0,225.0,65.0,35.0,6523.0,225.0,85.0,125.0,7617.0,240.0,80.0,10.0,8659.0,220.0,25.0,10.0,8762.0,220.0,50.0,0.0,9443.0,220.0,5.0,40.0,949.0,220.0,170.0,35.0,1723.0,225.0,120.0,130.0,2400.0,240.0,150.0,100.0,2504.0,235.0,120.0,90.0,2535.0,235.0,80.0,65.0,2713.0,230.0,95.0,195.0,3204.0,250.0,155.0,220.0,3253.0,255.0,195.0,170.0,3657.0,245.0,125.0
jrk0eogay8s41.png,70.0,50.0,15.0,250.0,100.0,941.0,100.0,100.0,60.0,1036.0,60.0,60.0,40.0,1106.0,45.0,40.0,225.0,1180.0,225.0,225.0,80.0,1191.0,80.0,80.0,30.0,2202.0,30.0,30.0,20.0,4666.0,25.0,20.0,10.0,5867.0,10.0,10.0,0.0,12391.0,0.0,0.0,15.0,55442.0,15.0,15.0,15.0,94.0,5.0,80.0,15.0,94.0,5.0,80.0,135.0,193.0,175.0,65.0,60.0,199.0,100.0,10.0,255.0,454.0,250.0,255.0,145.0,545.0,150.0,145.0,175.0,597.0,175.0,175.0,200.0,839.0,200.0,200.0,120.0,913.0,125.0,120.0
7c3lyx28tzt41.png,235.0,315.0,45.0,205.0,55.0,2934.0,50.0,65.0,80.0,4306.0,95.0,70.0,30.0,5090.0,30.0,35.0,65.0,6020.0,85.0,50.0,50.0,7397.0,70.0,40.0,40.0,9343.0,55.0,30.0,255.0,9445.0,255.0,255.0,30.0,9628.0,45.0,15.0,5.0,11195.0,15.0,0.0,15.0,14611.0,30.0,10.0,165.0,317.0,40.0,125.0,55.0,509.0,70.0,210.0,170.0,515.0,170.0,165.0,110.0,521.0,120.0,210.0,220.0,1015.0,220.0,215.0,125.0,1102.0,145.0,115.0,90.0,1372.0,100.0,120.0,20.0,1436.0,30.0,185.0,95.0,2929.0,120.0,80.0
cxowqxjvkzq41.png,50.0,45.0,90.0,190.0,215.0,831.0,220.0,205.0,100.0,900.0,110.0,95.0,85.0,950.0,95.0,75.0,70.0,1075.0,75.0,60.0,55.0,1710.0,60.0,45.0,10.0,1756.0,15.0,0.0,40.0,3368.0,50.0,30.0,20.0,5342.0,30.0,10.0,30.0,6549.0,40.0,20.0,30.0,62339.0,35.0,15.0,125.0,122.0,105.0,155.0,50.0,201.0,50.0,85.0,250.0,537.0,255.0,240.0,120.0,650.0,130.0,110.0,135.0,670.0,145.0,130.0,155.0,712.0,160.0,150.0,195.0,715.0,200.0,190.0,175.0,741.0,180.0,170.0,230.0,787.0,235.0,225.0
austmhcaccs41.png,190.0,1276.0,125.0,245.0,135.0,4054.0,120.0,150.0,60.0,4197.0,75.0,40.0,85.0,4481.0,65.0,120.0,60.0,4722.0,45.0,95.0,35.0,5121.0,20.0,80.0,50.0,5217.0,50.0,60.0,15.0,5243.0,5.0,55.0,255.0,5891.0,250.0,255.0,25.0,8474.0,25.0,20.0,35.0,16178.0,40.0,35.0,140.0,1718.0,90.0,205.0,230.0,1797.0,200.0,250.0,190.0,2062.0,180.0,205.0,50.0,2175.0,30.0,135.0,100.0,3083.0,75.0,155.0,160.0,3168.0,145.0,175.0,0.0,3693.0,0.0,10.0,110.0,3718.0,100.0,120.0,80.0,3732.0,85.0,80.0
2kc00ewaazv41.png,0.0,277.0,0.0,0.0,50.0,2203.0,55.0,50.0,235.0,2793.0,235.0,235.0,225.0,2991.0,225.0,225.0,250.0,3017.0,250.0,255.0,245.0,3267.0,240.0,245.0,220.0,3417.0,220.0,220.0,210.0,3639.0,210.0,210.0,190.0,3955.0,195.0,195.0,200.0,4052.0,205.0,200.0,60.0,51276.0,65.0,55.0,20.0,503.0,20.0,20.0,180.0,698.0,180.0,180.0,35.0,794.0,40.0,35.0,145.0,861.0,145.0,145.0,105.0,934.0,105.0,105.0,125.0,980.0,125.0,120.0,165.0,1026.0,165.0,165.0,85.0,1528.0,90.0,85.0,70.0,1789.0,70.0,65.0
1vumfgyx74o41.png,50.0,792.0,215.0,165.0,70.0,3750.0,220.0,85.0,105.0,3900.0,230.0,125.0,90.0,3913.0,225.0,105.0,40.0,4454.0,220.0,45.0,165.0,4498.0,240.0,185.0,55.0,4861.0,220.0,65.0,210.0,5678.0,245.0,220.0,185.0,6767.0,240.0,200.0,210.0,7978.0,245.0,205.0,255.0,25468.0,255.0,255.0,105.0,837.0,225.0,220.0,25.0,1128.0,215.0,120.0,0.0,1150.0,210.0,0.0,120.0,1358.0,230.0,170.0,25.0,1928.0,215.0,75.0,150.0,2350.0,235.0,160.0,125.0,2577.0,230.0,140.0,225.0,3177.0,250.0,235.0,25.0,3436.0,215.0,25.0
GrO4p9J.png,170.0,524.0,125.0,240.0,55.0,1449.0,25.0,75.0,125.0,1470.0,80.0,190.0,110.0,1582.0,70.0,165.0,95.0,1672.0,55.0,145.0,40.0,1802.0,35.0,45.0,65.0,1820.0,35.0,100.0,80.0,2123.0,45.0,125.0,0.0,3315.0,0.0,0.0,245.0,4178.0,245.0,245.0,255.0,61306.0,255.0,255.0,175.0,753.0,170.0,180.0,150.0,798.0,145.0,150.0,95.0,890.0,90.0,95.0,125.0,893.0,120.0,125.0,65.0,894.0,65.0,65.0,200.0,908.0,200.0,205.0,145.0,1127.0,105.0,210.0,25.0,1247.0,20.0,25.0,225.0,1249.0,225.0,225.0
